"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
301,29.9,29.9,70.1,"Aarberg BE","Aarberg (BE)","Aarberg BE","Aarberg hat sich gegen die Ausweitung auf vier Sonntagsverkäufe pro Jahr ausgesprochen, ist aber für gleiche gesetzliche Vorgaben für E-Zigaretten wie für herkömmliche Raucherwaren. Die Gemeinde hat die Hauptvorlage mit 70,1 Prozent abgelehnt, dem Eventualantrag hingegen mit 63,4 Prozent zugestimmt.","Les citoyens d'Aarberg disent oui à 63,4 pour cent à l'uniformisation des règles encadrant le commerce des cigarettes électroniques et des cigarettes classiques. Ils refusent par contre le projet principal qui proposait en plus de cette uniformisation des règles la possibilité pour les magasins d'ouvrir jusqu'à quatre dimanche par année sans demander d'autorisation (non à 70,1 pour cent).",
302,43.2,43.2,56.8,"Bargen BE","Bargen (BE)","Bargen BE BE","Bargen BE hat Nein gesagt zu vier Sonntagsverkäufen pro Jahr, befürwortet aber gleiche Regelungen für elektronische Zigaretten wie für herkömmliche Raucherwaren. Die Hauptvorlage wurde mit 56,8 Prozent abgelehnt, der Eventualantrag hingegen stiess mit 50,1 Prozent auf Zustimmung.","C'est oui à 50,1 pour cent à l'uniformisation des règles encadrant le commerce des cigarettes électroniques et des cigarettes classiques à Bargen (BE). C'est non par contre à 56,8 pour cent à la possibilité pour les magasins d'ouvrir jusqu'à quatre dimanche par année sans demander d'autorisation.",
303,45.6,45.6,54.4,"Grossaffoltern BE","Grossaffoltern (BE)","Grossaffoltern BE","Grossaffoltern hat Nein gesagt zu vier Sonntagsverkäufen pro Jahr, befürwortet aber gleiche Regelungen für elektronische Zigaretten wie für herkömmliche Raucherwaren. Die Hauptvorlage wurde mit 54,4 Prozent abgelehnt, der Eventualantrag hingegen stiess mit 69,3 Prozent auf Zustimmung.","C'est oui à 69,3 pour cent à l'uniformisation des règles encadrant le commerce des cigarettes électroniques et des cigarettes classiques à Grossaffoltern. C'est non par contre à 54,4 pour cent à la possibilité pour les magasins d'ouvrir jusqu'à quatre dimanche par année sans demander d'autorisation.",
304,36.5,36.5,63.5,"Kallnach BE","Kallnach (BE)","Kallnach BE","Kallnach ist gegen die Ausweitung auf vier Sonntagsverkäufe pro Jahr und gleiche gesetzliche Vorgaben für elektronische Zigaretten wie für herkömmliche Raucherwaren. Die Gemeinde hat sowohl die Hauptvorlage mit 63,5 Prozent als auch den Eventualantrag mit 97,4 Prozent verworfen.","Les citoyens de Kallnach ne veulent ni uniformisation des règles encadrant le commerce de cigarettes électroniques et de cigarettes classique, ni augmentation du nombre de dimanche ouverts pour les magasins. Ils ont refusé le projet principal avec 63,5 pour cent de non et le projet alternatif avec 97,4 pour cent de non",
305,91.6,91.6,8.4,"Kappelen BE","Kappelen (BE)","Kappelen BE","91,6 Prozent Ja in Kappelen zu vier Sonntagsverkäufen pro Jahr und gleichen gesetzlichen Vorgaben für elektronische Zigaretten wie für herkömmliche Raucherwaren. 52,7 Prozent sagen hingegen Nein zum Eventualantrag, der sich auf Regeln für E-Zigaretten beschränkt.","C'est oui à 91,6 pour cent à à l'ouverture des magasins jusqu'à quatre dimanche par année sans demande et à l'uniformisation des règles encadrant le commerce des cigarettes électroniques et des cigarettes classiques à Kappelen. C'est non par contre à 47,3 au projet alternatif se concentrant uniquement sur l'uniformisation des règles dans le commerce de cigarettes.",
306,12.9,12.9,87.1,"Lyss BE","Lyss (BE)","Lyss BE","Lyss ist gegen die Ausweitung auf vier Sonntagsverkäufe pro Jahr und gleiche gesetzliche Vorgaben für elektronische Zigaretten wie für herkömmliche Raucherwaren. Die Gemeinde hat sowohl die Hauptvorlage mit 87,1 Prozent als auch den Eventualantrag mit 72,6 Prozent verworfen.","Les citoyens de Lyss ne veulent ni uniformisation des règles encadrant le commerce de cigarettes électroniques et de cigarettes classique, ni augmentation du nombre de dimanche ouverts pour les magasins. Ils ont refusé le projet principal avec 87,1 pour cent de non et le projet alternatif avec 72,6 pour cent de non",
307,32.7,32.7,67.3,"Meikirch BE","Meikirch (BE)","Meikirch BE","Meikirch hat sich gegen die Ausweitung auf vier Sonntagsverkäufe pro Jahr ausgesprochen, ist aber für gleiche gesetzliche Vorgaben für E-Zigaretten wie für herkömmliche Raucherwaren. Die Gemeinde hat die Hauptvorlage mit 67,3 Prozent abgelehnt, dem Eventualantrag hingegen mit 92,2 Prozent zugestimmt.","Les citoyens de Meikirch disent oui à 92,2 pour cent à l'uniformisation des règles encadrant le commerce des cigarettes électroniques et des cigarettes classiques. Ils refusent par contre le projet principal qui proposait en plus de cette uniformisation des règles la possibilité pour les magasins d'ouvrir jusqu'à quatre dimanche par année sans demander d'autorisation (non à 67,3 pour cent).",
309,41.7,41.7,58.3,"Radelfingen BE","Radelfingen (BE)","Radelfingen BE","Radelfingen ist gegen vier Sonntagsverkäufe pro Jahr, befürwortet aber gleiche Bestimmungen für E-Zigaretten wie für herkömmliche Raucherwaren. Die Gemeinde hat die Hauptvorlage mit 58,3 abgelehnt, den Eventualantrag hingegen mit 69,9 Prozent angenommen.","Les citoyens de Radelfingen acceptent avec 69,9 pour cent de oui que le commerce des cigarettes électroniques soit soumis aux mêmes règles que celui des cigarettes classiques. Ils s'opposent par contre au projet principal du Conseil d'Etat qui proposait en plus de cette uniformisation des règles la possibilité pour les magasins d'ouvrir jusqu'à quatre dimanche par année sans demander d'autorisation (non à 58,3 pour cent).",
310,83.2,83.2,16.8,"Rapperswil BE","Rapperswil (BE)","Rapperswil BE BE","Rapperswil BE hat sich mit 83,2 für vier Sonntagsverkäufe pro Jahr und gleiche gesetzliche Vorgaben für E-Zigaretten wie für herkömmliche Raucherwaren ausgesprochen. Auch der Eventualantrag ausschliesslich mit Änderungen für elektronische Zigaretten wurde mit 65,9 Prozent angenommen. Bei der Stichfrage gaben die Abstimmenden von Rapperswil BE mit 64 Prozent dem Eventualantrag den Vorzug.","Les citoyens de Rapperswil (BE) souhaitent unifier les règles encadrant les commerces de cigarettes électroniques et de cigarettes classiques. Ils ont dit oui à 65,9 pour cent de oui à cette proposition. Ils ont été 64 pour cent à préférer ce projet alternatif au projet principal du Conseil d'Etat qui voulait en plus augmenter à quatre le nombre de dimanche où les magasins peuvent ouvrir sans demander d'autorisation. Le projet principal a obtenu 83,2 pour cent de oui.",
311,10.6,10.6,89.4,"Schüpfen BE","Schüpfen (BE)","Schüpfen BE","89,4 Prozent in Schüpfen haben sich gegen die Ausweitung auf vier Sonntagsverkäufe pro Jahr und gleiche gesetzliche Vorgaben für elektronische Zigaretten wie für herkömmliche Raucherwaren ausgesprochen. Auch der Eventualantrag mit nur den neuen Regelungen für E-Zigaretten wurde mit 52,1 Prozent verworfen.","Ni le projet du Conseil d'Etat, ni le projet alternatif ne trouvent grâce aux yeux des citoyens de Schüpfen. Ils refusent avec 89,4 pour cent de non de permettre aux magasins d'ouvrir jusqu'à dimanche par année sans demander d'autorisation et d'uniformiser les règles encadrant le commerce de cigarettes électroniques et des cigarettes classiques. Ils s'opposent aussi au projet alternatif (52,1 pour cent de non), qui se limite à la problèmatiques des cigarettes.",
