"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",35.5,64.5,0,162,161,"161/162"
2,"Bern","Berne","Berna",33.2,66.8,33.2,334,334,
3,"Luzern","Lucerne","Lucerna",39.6,60.4,39.6,80,80,
4,"Uri","Uri","Uri",36.2,63.8,36.2,19,19,
5,"Schwyz","Schwyz","Svitto",36.3,63.7,36.3,30,30,
6,"Obwalden","Obwald","Obvaldo",39.9,60.1,39.9,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",40.4,59.6,40.4,11,11,
8,"Glarus","Glaris","Glarona",35.1,64.9,35.1,3,3,
9,"Zug","Zoug","Zugo",41,59,41,11,11,
10,"Freiburg","Fribourg","Friburgo",37.8,62.2,37.8,128,128,
11,"Solothurn","Soleure","Soletta",39.8,60.2,39.8,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",29.3,70.7,29.3,3,3,
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",33.6,66.4,33.6,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",31.6,68.4,31.6,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",36.2,63.8,36.2,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",38.9,61.1,38.9,6,6,
17,"St. Gallen","Saint-Gall","San Gallo",38,62,38,77,77,
18,"Graubünden","Grisons","Grigioni",38.3,61.7,38.3,101,101,
19,"Aargau","Argovie","Argovia",37.7,62.3,37.7,210,210,
20,"Thurgau","Thurgovie","Turgovia",36.3,63.7,36.3,80,80,
21,"Tessin","Tessin","Ticino",44.2,55.8,44.2,111,111,
22,"Waadt","Vaud","Vaud",30,70,0,308,307,"307/308"
23,"Wallis","Valais","Vallese",40,60,40,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",31.4,68.6,31.4,27,27,
25,"Genf","Genève","Ginevra",30.6,69.4,30.6,45,45,
26,"Jura","Jura","Giura",33.4,66.6,33.4,53,53,
