"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
5001,51.1,51.1,48.9,"Arbedo-Castione TI","Arbedo-Castione (TI)","Arbedo-Castione TI","Ja zur elektronischen Identität in Arbedo-Castione. Die Gemeinde hat das E-ID-Gesetz mit 51,1 Prozent der Stimmen angenommen.","Les électeurs d'Arbedo-Castione valident la loi sur les services d'identification électronique avec 51,1 pour cent de oui.","A Arbedo-Castione i cittadini hanno accolto, con il 51,1 percento dei voti, la legge federale sui servizi d’identificazione elettronica."
5002,46.8,46.8,53.2,"Bellinzona TI","Bellinzone (TI)","Bellinzona TI","Nein zur elektronischen Identität: Bellinzona hat das E-ID-Gesetz mit 53,2 Prozent Nein-Stimmen verworfen.","La loi sur les services d'identification électronique ne passe pas la rampe à Bellinzone avec 53,2 pour cent de non.","Nel comune di Bellinzona la legge sull'identificazione elettronica è stata respinta con il 53,2 percento dei voti."
5003,56.4,56.4,43.6,"Cadenazzo TI","Cadenazzo (TI)","Cadenazzo TI","56,4 Prozent der Stimmbürgerinnen und Stimmbürger von Cadenazzo haben sich für das E-ID-Gesetz ausgesprochen.","A Cadenazzo, les habitants disent oui à 56,4 pour cent à la loi sur les services d'identification électronique.","Nel comune di Cadenazzo la legge sull'identificazione elettronica è stata approvata con il 56,4 percento dei voti."
5009,75.4,75.4,24.6,"Isone TI","Isone (TI)","Isone TI","Mit 169 Ja zu 55 Nein hat sich Isone für das E-ID-Gesetz ausgesprochen. Das entspricht 75,4 Prozent.","Les habitants d'Isone approuvent la loi sur les services d'identification électronique avec 75,4 pour cent de oui.","Sì alla legge sull'identificazione elettronica nel comune di Isone: i cittadini hanno approvato il testo con il 75,4 percento dei voti."
5010,50.4,50.4,49.6,"Lumino TI","Lumino (TI)","Lumino TI","Mit 50,4 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Lumino das E-ID-Gesetz angenommen.","Les habitants de Lumino acceptent la loi sur les services d'identification électronique avec 50,4 pour cent de oui.","Nel comune di Lumino la legge sull'identificazione elettronica è stata accetata con il 50,4 percento dei voti."
5017,59,59,41,"Sant'Antonino TI","Sant'Antonino (TI)","Sant'Antonino TI","Mit 59 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Sant'Antonino das E-ID-Gesetz angenommen.","Les habitants de Sant'Antonino acceptent la loi sur les services d'identification électronique avec 59 pour cent de oui.","Nel comune di Sant'Antonino la legge sull'identificazione elettronica è stata accetata con il 59 percento dei voti."
5048,72.7,72.7,27.3,"Acquarossa TI","Acquarossa (TI)","Acquarossa TI","Ja zur elektronischen Identität in Acquarossa. Die Gemeinde hat das E-ID-Gesetz mit 72,7 Prozent der Stimmen angenommen.","Les électeurs d'Acquarossa valident la loi sur les services d'identification électronique avec 72,7 pour cent de oui.","A Acquarossa i cittadini hanno accolto, con il 72,7 percento dei voti, la legge federale sui servizi d’identificazione elettronica."
5049,76.7,76.7,23.3,"Blenio TI","Blenio (TI)","Blenio TI","Ja zur elektronischen Identität in Blenio. Die Gemeinde hat das E-ID-Gesetz mit 76,7 Prozent der Stimmen angenommen.","Les électeurs de Blenio valident la loi sur les services d'identification électronique avec 76,7 pour cent de oui.","A Blenio i cittadini hanno accolto, con il 76,7 percento dei voti, la legge federale sui servizi d’identificazione elettronica."
5050,71.1,71.1,28.9,"Serravalle TI","Serravalle (TI)","Serravalle TI","Mit 71,1 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Serravalle das E-ID-Gesetz angenommen.","Les habitants de Serravalle acceptent la loi sur les services d'identification électronique avec 71,1 pour cent de oui.","Nel comune di Serravalle la legge sull'identificazione elettronica è stata accetata con il 71,1 percento dei voti."
5061,73.5,73.5,26.5,"Airolo TI","Airolo (TI)","Airolo TI","73,5 Prozent der Stimmbürgerinnen und Stimmbürger von Airolo haben sich für das E-ID-Gesetz ausgesprochen.","A Airolo, les habitants disent oui à 73,5 pour cent à la loi sur les services d'identification électronique.","Nel comune di Airolo la legge sull'identificazione elettronica è stata approvata con il 73,5 percento dei voti."
5063,63.8,63.8,36.2,"Bedretto TI","Bedretto (TI)","Bedretto TI","Ja zur elektronischen Identität in Bedretto. Mit 37 Ja-Stimmen zu 21 Nein-Stimmen ist das E-ID-Gesetz angenommen worden.","La loi sur les services d'identification électronique est acceptée à Bedretto. Les électeurs de cette petite commune sont 37 à dire oui, contre 21 à s'y opposer.","Con 37 voti contro 21, i cittadini di Bedretto hanno appprovato la legge sull'identificazione elettronica."
5064,67.2,67.2,32.8,"Bodio TI","Bodio (TI)","Bodio TI","67,2 Prozent der Stimmbürgerinnen und Stimmbürger von Bodio haben sich für das E-ID-Gesetz ausgesprochen.","A Bodio, les habitants disent oui à 67,2 pour cent à la loi sur les services d'identification électronique.","Nel comune di Bodio la legge sull'identificazione elettronica è stata approvata con il 67,2 percento dei voti."
5071,78.3,78.3,21.7,"Dalpe TI","Dalpe (TI)","Dalpe TI","Mit 78,3 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Dalpe das E-ID-Gesetz angenommen.","Les habitants de Dalpe acceptent la loi sur les services d'identification électronique avec 78,3 pour cent de oui.","Nel comune di Dalpe la legge sull'identificazione elettronica è stata accetata con il 78,3 percento dei voti."
