"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",60,40,100,162,55,"55/162"
2,"Bern","Berne","Berna",0,0,50,334,0,"0/334"
3,"Luzern","Lucerne","Lucerna",55.9,44.1,100,80,69,"69/80"
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19"
5,"Schwyz","Schwyz","Svitto",60.4,39.6,100,30,20,"20/30"
6,"Obwalden","Obwald","Obvaldo",57.6,42.4,100,7,3,"3/7"
7,"Nidwalden","Nidwald","Nidvaldo",0,0,50,11,0,"0/11"
8,"Glarus","Glaris","Glarona",54.1,45.9,54.1,3,3,
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11"
10,"Freiburg","Fribourg","Friburgo",44.7,55.3,0,128,74,"74/128"
11,"Solothurn","Soleure","Soletta",55.1,44.9,100,107,72,"72/107"
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",55.1,44.9,100,86,58,"58/86"
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26"
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",48.9,51.1,0,20,15,"15/20"
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,6,0,"0/6"
17,"St. Gallen","Saint-Gall","San Gallo",55.3,44.7,100,77,63,"63/77"
18,"Graubünden","Grisons","Grigioni",53.8,46.2,53.8,101,101,
19,"Aargau","Argovie","Argovia",55.7,44.3,100,210,172,"172/210"
20,"Thurgau","Thurgovie","Turgovia",52.8,47.2,100,80,38,"38/80"
21,"Tessin","Tessin","Ticino",50.3,49.7,100,111,91,"91/111"
22,"Waadt","Vaud","Vaud",34.2,65.8,0,308,219,"219/308"
23,"Wallis","Valais","Vallese",52.7,47.3,100,122,62,"62/122"
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27"
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",35.1,64.9,0,53,18,"18/53"
