"","Comune","Percentuale di no"
"1","Bister VS",88.9
"2","Novalles VD",87.7
"3","Syens VD",85.7
"4","Prévondavaux FR",85.4
"5","Horrenbach-Buchen BE",84.8
"6","Rothenbrunnen GR",84.5
"7","Tschappina GR",84.5
"8","Teuffenthal BE",83.1
"9","La Praz VD",82.4
"10","Riemenstalden SZ",82.1
"11","Zwischbergen VS",81.8
"12","Gurtnellen UR",81
"13","Bretzwil BL",81
"14","Les Enfers JU",80.6
"15","Corbeyrier VD",80.3
"16","Vorderthal SZ",80.2
"17","Dozwil TG",80.1
"18","Kilchberg BL",80
"19","Jaun FR",79.9
"20","Ferreyres VD",79.9
"21","Unteriberg SZ",79.8
"22","Moiry VD",79.8
"23","Romainmôtier-Envy VD",79.7
"24","Premier VD",79.6
"25","Häfelfingen BL",79.4
"26","Pampigny VD",78.9
"27","Rongellen GR",78.3
"28","Vaux-sur-Morges VD",78.3
"29","Valeyres-sous-Ursins VD",78.3
"30","Berlingen TG",77.9
"31","Homberg BE",77.8
"32","Alpthal SZ",77.5
"33","Renens VD",77.4
"34","Le Lieu VD",77.4
"35","Vevey VD",77.3
"36","Geltwil AG",77
"37","Rivaz VD",76.9
"38","Croy VD",76.9
"39","Lauwil BL",76.7
"40","Hornussen AG",76.7
"41","Curtilles VD",76.7
"42","Uezwil AG",76.4
"43","Ballens VD",76.4
"44","Boulens VD",76.4
"45","Bussy-sur-Moudon VD",76.4
"46","Les Genevez JU",76.3
"47","Hemmiken BL",76
"48","Schmiedrued AG",75.9
"49","Provence VD",75.9
"50","Wassen UR",75.8
