"","Commune","Pourcentage de oui"
"1","Kammersrohr (SO)",78.9
"2","Bedretto (TI)",70
"3","Saas-Balen (VS)",66.8
"4","Corseaux (VD)",65.3
"5","Buus (BL)",63
"6","Buseno (GR)",62.5
"7","Ferrera (GR)",55.6
"8","Lax (VS)",55.5
"9","Turtmann-Unterems (VS)",55.5
"10","Kippel (VS)",55.5
"11","Feldbrunnen-St. Niklaus (SO)",55.4
"12","Isone (TI)",54.9
"13","Niedergösgen (SO)",54.8
"14","Sufers (GR)",54.7
"15","Matzendorf (SO)",54.4
"16","Dalpe (TI)",54.4
"17","Staldenried (VS)",54.3
"18","Personico (TI)",54.2
"19","Törbel (VS)",53.9
"20","Cureglia (TI)",52.2
"21","Sévaz (FR)",52.1
"22","Lantsch/Lenz (GR)",52
"23","Tübach (SG)",51.8
"24","Lamone (TI)",51.5
"25","Novazzano (TI)",51.4
"26","Schenkon (LU)",51.3
"27","Sils im Engadin/Segl (GR)",51.2
"28","Unterbäch (VS)",51.1
"29","Doppleschwand (LU)",50.9
"30","Gravesano (TI)",50.8
"31","Oekingen (SO)",50.7
"32","Grono (GR)",50.6
"33","Unterramsern (SO)",50.5
"34","Canobbio (TI)",50.5
"35","Riviera (TI)",50.4
"36","Aesch (ZH)",50.2
"37","Montilier (FR)",50.1
"38","Andwil (SG)",50.1
"39","Liedertswil (BL)",50
"40","Bürchen (VS)",50
"41","Lüterswil-Gächliwil (SO)",49.7
"42","Lohn-Ammannsegg (SO)",49.7
"43","Lavertezzo (TI)",49.6
"44","Cadempino (TI)",49.6
"45","Soazza (GR)",49.5
"46","Eischoll (VS)",49.5
"47","Eppenberg-Wöschnau (SO)",49.4
"48","Obergoms (VS)",49.4
"49","Vals (GR)",49.3
"50","Saas-Almagell (VS)",49.2
