"","Commune","Pourcentage de non"
"1","Einsiedeln (SZ)",99.5
"2","Crissier (VD)",99.1
"3","Bürchen (VS)",98.9
"4","Oberglatt (ZH)",98.6
"5","Lantsch/Lenz (GR)",97.8
"6","Tavannes (BE)",97.6
"7","Hallwil (AG)",97.4
"8","Le Noirmont (JU)",97.4
"9","Erstfeld (UR)",97.3
"10","Massagno (TI)",97.2
"11","Boppelsen (ZH)",96.9
"12","Radelfingen (BE)",96.6
"13","Goms (VS)",96.6
"14","Wengi (BE)",96.4
"15","Huttwil (BE)",96.4
"16","Cornol (JU)",96.4
"17","Zwischbergen (VS)",96.3
"18","Horrenbach-Buchen (BE)",96
"19","Henggart (ZH)",95.8
"20","Lully (VD)",95.7
"21","Stocken-Höfen (BE)",95.2
"22","Silvaplana (GR)",94.2
"23","Suscévaz (VD)",93.9
"24","Blumenstein (BE)",93.7
"25","Russikon (ZH)",93.6
"26","Dübendorf (ZH)",93.6
"27","Oppens (VD)",93.5
"28","Wiliberg (AG)",93.1
"29","Madiswil (BE)",92.8
"30","Elfingen (AG)",92.8
"31","Le Mont-sur-Lausanne (VD)",92.7
"32","Lucens (VD)",92.6
"33","Amden (SG)",92.5
"34","Dägerlen (ZH)",92.4
"35","Vuiteboeuf (VD)",92.4
"36","Ramsen (SH)",91.9
"37","Avully (GE)",91.5
"38","Haut-Intyamon (FR)",91.3
"39","Arlesheim (BL)",91.2
"40","Schönengrund (AR)",91
"41","Lugano (TI)",91
"42","Oltingen (BL)",90.8
"43","La Praz (VD)",90.5
"44","Diegten (BL)",90.4
"45","Titterten (BL)",90.4
"46","Ennetbaden (AG)",90.4
"47","Hospental (UR)",90.2
"48","Kleinbösingen (FR)",90.2
"49","Caslano (TI)",90.2
"50","Eschlikon (TG)",90
