"","Commune","Pourcentage de oui"
"1","Liedertswil (BL)",76
"2","Bedretto (TI)",73.2
"3","Buseno (GR)",72
"4","Gottlieben (TG)",71.4
"5","Wollerau (SZ)",71.2
"6","Saas-Fee (VS)",70.7
"7","Unterengstringen (ZH)",70.3
"8","Aesch (ZH)",70.1
"9","Feldbrunnen-St. Niklaus (SO)",69.8
"10","Brütten (ZH)",69.6
"11","Regensberg (ZH)",69.2
"12","Oberwil-Lieli (AG)",68.8
"13","Oberrohrdorf (AG)",68.6
"14","Wettswil am Albis (ZH)",68.3
"15","Hergiswil (NW)",68
"16","Meggen (LU)",67.4
"17","Kippel (VS)",67.3
"18","Freienbach (SZ)",67.2
"19","Boppelsen (ZH)",67.1
"20","Ennetbürgen (NW)",67.1
"21","Pfeffingen (BL)",67.1
"22","Silvaplana (GR)",67
"23","Fiesch (VS)",67
"24","Eischoll (VS)",67
"25","Mörschwil (SG)",66.9
"26","Birmenstorf (AG)",66.9
"27","Embd (VS)",66.9
"28","Stansstad (NW)",66.6
"29","Gisikon (LU)",66.4
"30","Balm bei Günsberg (SO)",66.4
"31","Laax (GR)",66.3
"32","Lindau (ZH)",66.2
"33","Eich (LU)",66.2
"34","Bottmingen (BL)",66.2
"35","Movelier (JU)",66.2
"36","Hüntwangen (ZH)",66.1
"37","Bergdietikon (AG)",66.1
"38","Oberrieden (ZH)",66
"39","Remetschwil (AG)",65.9
"40","Feusisberg (SZ)",65.5
"41","Ferrera (GR)",65.5
"42","Bürchen (VS)",65.5
"43","Würenlos (AG)",65.3
"44","Henggart (ZH)",65.2
"45","Neerach (ZH)",65.2
"46","Vals (GR)",65.1
"47","Villnachern (AG)",65
"48","Binn (VS)",64.9
"49","Disentis/Mustér (GR)",64.8
"50","Lohn-Ammannsegg (SO)",64.7
