"","Comune","Percentuale di sì"
"1","Liedertswil BL",76
"2","Bedretto TI",73.2
"3","Erlenbach ZH",73.1
"4","Herrliberg ZH",72.8
"5","Buseno GR",72
"6","Gottlieben TG",71.4
"7","Wollerau SZ",71.2
"8","Saas-Fee VS",70.7
"9","Unterengstringen ZH",70.3
"10","Aesch ZH",70.1
"11","Küsnacht ZH",70
"12","Kilchberg ZH",69.9
"13","Feldbrunnen-St. Niklaus SO",69.8
"14","Brütten ZH",69.6
"15","Wiler (Lötschen) VS",69.5
"16","Regensberg ZH",69.2
"17","Meilen ZH",68.9
"18","Oberwil-Lieli AG",68.8
"19","Rüschlikon ZH",68.7
"20","Oberrohrdorf AG",68.6
"21","Wettswil am Albis ZH",68.3
"22","Hergiswil NW",68
"23","Stetten SH",67.7
"24","Meggen LU",67.4
"25","Kippel VS",67.3
"26","Freienbach SZ",67.2
"27","Boppelsen ZH",67.1
"28","Ennetbürgen NW",67.1
"29","Pfeffingen BL",67.1
"30","Silvaplana GR",67
"31","Fiesch VS",67
"32","Eischoll VS",67
"33","Mörschwil SG",66.9
"34","Birmenstorf AG",66.9
"35","Embd VS",66.9
"36","Stansstad NW",66.6
"37","Gisikon LU",66.4
"38","Balm bei Günsberg SO",66.4
"39","Weisslingen ZH",66.3
"40","Oetwil an der Limmat ZH",66.3
"41","Laax GR",66.3
"42","Lindau ZH",66.2
"43","Eich LU",66.2
"44","Bottmingen BL",66.2
"45","Hüntwangen ZH",66.1
"46","Walchwil ZG",66.1
"47","Bergdietikon AG",66.1
"48","Oberrieden ZH",66
"49","Remetschwil AG",65.9
"50","Opfikon ZH",65.8
