"","Commune","Pourcentage de oui"
"1","Horrenbach-Buchen (BE)",90
"2","Zwischbergen (VS)",87.9
"3","Wachseldorn (BE)",83.3
"4","Ederswiler (JU)",82.9
"5","Unteriberg (SZ)",82.4
"6","Isone (TI)",82.1
"7","Alpthal (SZ)",81.1
"8","Chavannes-sur-Moudon (VD)",80.8
"9","Raperswilen (TG)",79.3
"10","Rossenges (VD)",78.8
"11","Rothenthurm (SZ)",78.5
"12","Unterschächen (UR)",78
"13","Bellegarde (FR)",76.9
"14","Saint-Silvestre (FR)",76.8
"15","Soubey (JU)",76.7
"16","Spiringen (UR)",76.5
"17","Eriz (BE)",76.4
"18","Vorderthal (SZ)",76.4
"19","Bure (JU)",76.4
"20","Ferrera (GR)",75.9
"21","Fahy (JU)",75.3
"22","Soyhières (JU)",75.2
"23","Beurnevésin (JU)",75
"24","Saint-Etienne (BE)",74.6
"25","La Côte-aux-Fées (NE)",74.5
"26","Steinerberg (SZ)",74.4
"27","Muotathal (SZ)",74
"28","Pohlern (BE)",73.8
"29","Grancia (TI)",73.7
"30","Pleigne (JU)",73.4
"31","Finhaut (VS)",73.2
"32","Treiten (BE)",73.1
"33","Holziken (AG)",73
"34","Basse-Allaine (JU)",72.8
"35","Movelier (JU)",72.7
"36","Cuarny (VD)",72.6
"37","Schmiedrued (AG)",72.5
"38","Val-d'Illiez (VS)",72.5
"39","Oberiberg (SZ)",72.4
"40","Brot-Plamboz (NE)",72.4
"41","Rovray (VD)",72.3
"42","Buchholterberg (BE)",72.2
"43","Hasle (LU)",72.2
"44","Staffelbach (AG)",72.2
"45","Homberg (BE)",72
"46","Reitnau (AG)",71.9
"47","Gravesano (TI)",71.9
"48","La Roche (FR)",71.7
"49","Roggenburg (BL)",71.7
"50","Kirchleerau (AG)",71.7
